AAPL,dt_date,Mkt-RF,SMB,HML,RF,Mom,_merge,AAPL_FF_merge_indicator,AAPL_RF
0.04697959799768703,1994-12,0.86,0.17,-0.09,0.44,3.45,both,both,4.257959799768702
0.03525716991488692,1995-01,1.8,-3.51,2.59,0.42,-1.84,both,both,3.105716991488692
-0.018980506544537867,1995-02,3.63,-0.61,0.99,0.4,-0.47,both,both,-2.2980506544537866
-0.10759669241443215,1995-03,2.19,-0.2,-2.13,0.46,0.45,both,both,-11.219669241443215
0.08510776489023542,1995-04,2.11,-0.51,1.67,0.44,1.8,both,both,8.070776489023542
0.08961484353153004,1995-05,2.9,-2.53,2.28,0.54,-0.55,both,both,8.421484353153005
0.1172932209092199,1995-06,2.72,3.17,-2.54,0.47,3.01,both,both,11.259322090921989
-0.030955788276630147,1995-07,3.71,2.09,-1.58,0.45,2.6,both,both,-3.545578827663015
-0.041835718235921804,1995-08,0.55,1.31,2.68,0.47,0.05,both,both,-4.65357182359218
-0.1337224770931975,1995-09,3.36,-2.16,-0.11,0.43,2.86,both,both,-13.80224770931975
-0.025166128080605366,1995-10,-1.51,-3.8,-0.49,0.47,4.17,both,both,-2.9866128080605368
0.0531844781927755,1995-11,3.96,-1.12,0.52,0.42,-0.72,both,both,4.89844781927755
-0.16393546988794971,1995-12,1.04,0.66,0.24,0.49,2.48,both,both,-16.88354698879497
-0.13333199239337234,1996-01,2.26,-2.83,0.46,0.43,0.57,both,both,-13.763199239337235
-0.004524584222963979,1996-02,1.33,1.79,-1.05,0.39,0.57,both,both,-0.8424584222963979
-0.10681943966981544,1996-03,0.74,1.43,0.42,0.39,-1.85,both,both,-11.071943966981545
-0.00763296403506486,1996-04,2.06,5.2,-3.97,0.46,-0.94,both,both,-1.223296403506486
0.07179467826090935,1996-05,2.36,3.2,-0.9,0.42,1.62,both,both,6.759467826090935
-0.19617251756060816,1996-06,-1.13,-4.0,2.33,0.4,1.02,both,both,-20.017251756060816
0.047621124511052715,1996-07,-5.96,-4.3,5.19,0.45,-0.15,both,both,4.312112451105271
0.10227139644226035,1996-08,2.77,2.45,-0.82,0.41,-0.02,both,both,9.817139644226035
-0.08505043286229386,1996-09,5.01,-1.02,-2.74,0.44,2.67,both,both,-8.945043286229385
0.036617097652862585,1996-10,0.87,-4.39,4.88,0.42,3.72,both,both,3.2417097652862585
0.048915040703017,1996-11,6.25,-4.04,1.4,0.41,-2.35,both,both,4.4815040703017
-0.13471586834032245,1996-12,-1.7,3.12,1.28,0.46,0.53,both,both,-13.931586834032245
-0.2035904300980912,1997-01,4.96,-1.93,-1.44,0.45,1.87,both,both,-20.80904300980912
-0.022562073983070086,1997-02,-0.48,-3.16,5.61,0.39,-2.18,both,both,-2.6462073983070087
0.12307670817819005,1997-03,-5.02,-0.33,3.39,0.43,0.88,both,both,11.877670817819006
-0.06848870739155533,1997-04,4.04,-5.74,0.0,0.43,4.83,both,both,-7.278870739155533
-0.02205761526056338,1997-05,6.73,5.12,-4.11,0.49,-5.19,both,both,-2.695761526056338
-0.14286095824215939,1997-06,4.1,1.21,1.44,0.37,2.59,both,both,-14.656095824215937
0.2280717369488714,1997-07,7.31,-2.73,0.13,0.43,3.7,both,both,22.37717369488714
0.24285394570831698,1997-08,-4.1,7.15,1.13,0.41,-2.57,both,both,23.8753945708317
-0.0028730602449168474,1997-09,5.34,2.54,0.24,0.44,1.46,both,both,-0.7273060244916847
-0.214694146982784,1997-10,-3.8,-0.71,2.33,0.42,-0.53,both,both,-21.8894146982784
0.04219834347263762,1997-11,2.99,-5.11,1.22,0.39,0.38,both,both,3.829834347263762
-0.26055949838849135,1997-12,1.33,-2.48,3.74,0.48,3.91,both,both,-26.535949838849135
0.39522791598153906,1998-01,0.15,-1.01,-1.68,0.43,0.05,both,both,39.09279159815391
0.2901095615309801,1998-02,7.03,0.13,-0.93,0.39,-1.19,both,both,28.62095615309801
0.16401981376597252,1998-03,4.76,-1.19,1.38,0.39,2.13,both,both,16.01198137659725
-0.004545149133022286,1998-04,0.74,0.06,1.03,0.43,0.76,both,both,-0.8845149133022285
-0.027399775090694356,1998-05,-3.07,-3.4,3.41,0.4,1.91,both,both,-3.1399775090694355
0.07746391081684978,1998-06,3.19,-3.17,-2.03,0.41,7.26,both,both,7.336391081684978
0.2069743401241524,1998-07,-2.42,-4.83,-1.83,0.4,3.79,both,both,20.29743401241524
-0.09927792270285829,1998-08,-16.05,-5.47,3.57,0.43,1.9,both,both,-10.35779227028583
0.2224451622961603,1998-09,6.19,-0.02,-3.51,0.46,-0.65,both,both,21.784516229616028
-0.026230999626586038,1998-10,6.98,-2.98,-2.33,0.32,-5.33,both,both,-2.9430999626586036
-0.13973074735693347,1998-11,6.07,1.26,-3.24,0.31,1.13,both,both,-14.283074735693347
0.28180042286640683,1998-12,6.15,-0.46,-4.25,0.38,8.87,both,both,27.800042286640686
0.006109294543988675,1999-01,3.48,0.67,-4.46,0.35,2.84,both,both,0.2609294543988675
-0.15478100002726514,1999-02,-4.08,-6.02,1.95,0.35,-0.14,both,both,-15.828100002726513
0.03231698661072513,1999-03,3.48,-3.84,-2.61,0.43,-1.21,both,both,2.8016986610725128
0.2799977439223307,1999-04,4.34,3.89,2.4,0.37,-8.98,both,both,27.629774392233067
-0.04211956086537039,1999-05,-2.46,3.32,2.49,0.34,-5.25,both,both,-4.5519560865370385
0.05106329368122409,1999-06,4.77,3.23,-3.22,0.4,4.66,both,both,4.706329368122408
0.20243068187710156,1999-07,-3.49,2.48,-0.18,0.38,1.7,both,both,19.86306818771016
0.17171641761159995,1999-08,-1.37,-0.95,-1.93,0.39,2.98,both,both,16.781641761159996
-0.029693357748642235,1999-09,-2.77,3.12,-2.9,0.39,6.38,both,both,-3.3593357748642236
0.2655487718201839,1999-10,6.09,-6.94,-2.88,0.39,5.45,both,both,26.164877182018387
0.22152873043025,1999-11,3.41,6.87,-5.65,0.36,5.49,both,both,21.792873043025
0.05044682163427194,1999-12,7.66,6.56,-7.66,0.44,13.14,both,both,4.604682163427194
0.009118238941287382,2000-01,-4.74,5.16,-1.12,0.41,1.86,both,both,0.5018238941287383
0.10481996587155162,2000-02,2.46,21.25,-9.77,0.43,18.02,both,both,10.051996587155163
0.1848416536711328,2000-03,5.21,-17.41,8.5,0.47,-6.85,both,both,18.014165367113282
-0.08651644567318084,2000-04,-6.39,-6.0,6.45,0.46,-8.6,both,both,-9.111644567318084
-0.32292202978273976,2000-05,-4.39,-6.08,4.59,0.5,-8.99,both,both,-32.79220297827398
0.24702398193970843,2000-06,4.68,12.71,-8.04,0.4,16.63,both,both,24.302398193970845
-0.029833189517428638,2000-07,-2.48,-2.84,8.06,0.48,-0.16,both,both,-3.4633189517428637
0.19926264069709876,2000-08,7.03,-0.5,-1.37,0.5,5.59,both,both,19.426264069709877
-0.5774364069580885,2000-09,-5.44,-1.74,7.24,0.51,1.89,both,both,-58.25364069580885
-0.24029150762281548,2000-10,-2.78,-3.85,5.58,0.56,-4.56,both,both,-24.589150762281548
-0.15654823385911176,2000-11,-10.7,-3.08,12.24,0.51,-2.17,both,both,-16.164823385911177
-0.0984852566708253,2000-12,1.18,0.82,7.55,0.5,6.59,both,both,-10.34852566708253
0.45378281629460737,2001-01,3.25,6.41,-5.05,0.54,-25.35,both,both,44.83828162946074
